"","obsevationID","Gradient","plotID","plotCode","plotElev","GradPlot","subplot","individual","linearDistance","perpendicularDistance","habit","acceptedFamily","acceptedGenus","acceptedSpecies","acceptedAuthor","TaxonFinal","FullTaxonFinal"
"25",676163,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","8","19.8","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"26",676164,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","9","20.3","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"27",676165,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","12","28.9","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"28",676166,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","9","7.8","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"29",676167,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","10","9.2","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"30",676168,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","11","9.2","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"31",676169,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","18","30.3","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"32",676170,"Guanacaste",26284,"HACHAL",3,"GU-1","IX","11","36.4","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"33",676171,"Guanacaste",26284,"HACHAL",3,"GU-1","I","7","22.8","NULL","L","Bignoniaceae","Bignonia","Bignonia aequinoctialis","L.","bignonia_aequinoctialis","Bignoniaceae/Bignonia/Bignonia_aequinoctialis"
"34",676172,"Guanacaste",26284,"HACHAL",3,"GU-1","V","4","5.3","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp6","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"35",676173,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","9","21.8","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp7","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"36",676174,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","11","28.3","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp8","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"37",676175,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","17","46.5","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp9","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"38",676176,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","3","11.4","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp10","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"39",676177,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","4","12.9","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp11","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"40",676178,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","8","1","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp12","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"41",676179,"Guanacaste",26284,"HACHAL",3,"GU-1","X","4","7.9","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp13","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"42",676180,"Guanacaste",26284,"HACHAL",3,"GU-1","X","7","9.7","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp14","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"43",676181,"Guanacaste",26284,"HACHAL",3,"GU-1","X","10","10.5","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp15","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"44",676182,"Guanacaste",26284,"HACHAL",3,"GU-1","IX","4","23.5","NULL","L","Bignoniaceae","BignoniaceaeIndet","BignoniaceaeIndet sp16","NULL","bignoniaceaeindet_sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6"
"45",676183,"Guanacaste",26284,"HACHAL",3,"GU-1","III","20","39","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"46",676184,"Guanacaste",26284,"HACHAL",3,"GU-1","III","25","46.5","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"47",676185,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","14","36.4","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"48",676186,"Guanacaste",26284,"HACHAL",3,"GU-1","V","15","29.5","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"49",676187,"Guanacaste",26284,"HACHAL",3,"GU-1","V","17","39","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"50",676188,"Guanacaste",26284,"HACHAL",3,"GU-1","V","19","50","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"51",676189,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","11","27.4","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"52",676190,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","18","36","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"53",676191,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","20","38","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"54",676192,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","14","17.7","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"55",676193,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","15","22.8","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"56",676194,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","17","28.5","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"57",676195,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","26","47.9","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"58",676196,"Guanacaste",26284,"HACHAL",3,"GU-1","X","2","6.7","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"59",676197,"Guanacaste",26284,"HACHAL",3,"GU-1","X","6","9.9","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"60",676198,"Guanacaste",26284,"HACHAL",3,"GU-1","X","24","26.6","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"61",676199,"Guanacaste",26284,"HACHAL",3,"GU-1","I","2","1.4","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"62",676200,"Guanacaste",26284,"HACHAL",3,"GU-1","II","4","12.7","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"63",676201,"Guanacaste",26284,"HACHAL",3,"GU-1","II","8","27.6","NULL","T","Bignoniaceae","Tabebuia","Tabebuia ochracea","(Cham.) Standl.","tabebuia_ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea"
"64",676202,"Guanacaste",26284,"HACHAL",3,"GU-1","III","24","43.2","NULL","T","Bignoniaceae","Tabebuia","Tabebuia rosea","(Bertol.) A. DC.","tabebuia_rosea","Bignoniaceae/Tabebuia/Tabebuia_rosea"
"65",676203,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","7","20.4","NULL","T","Bignoniaceae","Tabebuia","Tabebuia rosea","(Bertol.) A. DC.","tabebuia_rosea","Bignoniaceae/Tabebuia/Tabebuia_rosea"
"66",676204,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","8","18.1","NULL","T","Bignoniaceae","Tabebuia","Tabebuia rosea","(Bertol.) A. DC.","tabebuia_rosea","Bignoniaceae/Tabebuia/Tabebuia_rosea"
"67",676205,"Guanacaste",26284,"HACHAL",3,"GU-1","IX","14","39.8","NULL","T","Bignoniaceae","Tabebuia","Tabebuia rosea","(Bertol.) A. DC.","tabebuia_rosea","Bignoniaceae/Tabebuia/Tabebuia_rosea"
"68",676206,"Guanacaste",26284,"HACHAL",3,"GU-1","I","4","13.7","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"69",676207,"Guanacaste",26284,"HACHAL",3,"GU-1","I","11","38.3","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"70",676208,"Guanacaste",26284,"HACHAL",3,"GU-1","II","1","2.7","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"71",676209,"Guanacaste",26284,"HACHAL",3,"GU-1","II","3","9.9","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"72",676210,"Guanacaste",26284,"HACHAL",3,"GU-1","II","5","20.8","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"73",676211,"Guanacaste",26284,"HACHAL",3,"GU-1","II","6","23.1","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"74",676212,"Guanacaste",26284,"HACHAL",3,"GU-1","II","9","30.3","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"75",676213,"Guanacaste",26284,"HACHAL",3,"GU-1","II","13","34.1","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"76",676214,"Guanacaste",26284,"HACHAL",3,"GU-1","II","15","40.7","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"77",676215,"Guanacaste",26284,"HACHAL",3,"GU-1","II","16","42.3","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"78",676216,"Guanacaste",26284,"HACHAL",3,"GU-1","III","1","5.1","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"79",676217,"Guanacaste",26284,"HACHAL",3,"GU-1","III","2","8.7","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"80",676218,"Guanacaste",26284,"HACHAL",3,"GU-1","III","3","12.7","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"81",676219,"Guanacaste",26284,"HACHAL",3,"GU-1","III","12","21.4","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"82",676220,"Guanacaste",26284,"HACHAL",3,"GU-1","III","19","35.4","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"83",676221,"Guanacaste",26284,"HACHAL",3,"GU-1","III","23","41.6","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"84",676222,"Guanacaste",26284,"HACHAL",3,"GU-1","III","28","48.7","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"85",676223,"Guanacaste",26284,"HACHAL",3,"GU-1","III","29","50","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"86",676224,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","2","5.4","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"87",676225,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","4","13.9","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"88",676226,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","8","20.6","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"89",676227,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","12","25.3","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"90",676228,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","18","50","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"91",676229,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","19","50","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"92",676230,"Guanacaste",26284,"HACHAL",3,"GU-1","V","8","10.7","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"93",676231,"Guanacaste",26284,"HACHAL",3,"GU-1","V","9","15.1","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"94",676232,"Guanacaste",26284,"HACHAL",3,"GU-1","V","10","9.9","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"95",676233,"Guanacaste",26284,"HACHAL",3,"GU-1","V","12","21","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"96",676234,"Guanacaste",26284,"HACHAL",3,"GU-1","V","13","23.9","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"97",676235,"Guanacaste",26284,"HACHAL",3,"GU-1","V","20","0","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"98",676236,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","4","10.9","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"99",676237,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","7","15.8","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"100",676238,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","10","21.8","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"101",676239,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","1","0","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"102",676240,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","7","18.6","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"103",676241,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","10","20.5","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"104",676242,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","14","30.7","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"105",676243,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","16","33.3","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"106",676244,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","17","35.9","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"107",676245,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","27","49.5","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"108",676246,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","3","2.2","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"109",676247,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","6","3.9","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
"110",676248,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","12","12.9","NULL","T","Boraginaceae","Cordia","Cordia alliodora","(Ruiz & Pav.) Oken","cordia_alliodora","Boraginaceae/Cordia/Cordia_alliodora"
