"","TraitName","AccSpeciesName","OrigValueStr","OrigUnitStr","StdValue","UnitName"
"16473","","Tilia americana","high","",NA,""
"16474","Species ocurrence range: climate type","Tilia americana","temperate, boreal","",NA,""
"16475","","Tilia americana","0","",NA,""
"16476","","Tilia americana","18","¡C",NA,""
"16477","","Tilia americana","20","¡C",NA,""
"16478","","Tilia americana","1","",NA,""
"16479","","Tilia americana","1000","micromol m-2 s-1",NA,""
"16480","","Tilia americana","360","ppm",NA,""
"16481","","Tilia americana","21","%",NA,""
"16482","","Tilia americana","17","",NA,""
"16483","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","24","mg g-1",24,"mg/g"
"16484","Leaf area per leaf dry mass (specific leaf area, SLA)","Tilia americana","19.23076923","m2 kg-1",19.23076923,"mm2 mg-1"
"16485","Leaf respiration rate per leaf dry mass","Tilia americana","0.0085","micromol g-1 s-1",0.0085,"micro mol g-1 s-1"
"16486","","Tilia americana","41.17","",41.17,""
"16487","","Tilia americana","-92.87","",-92.87,""
"16488","","Tilia americana","385","m",385,"m"
"16489","","Tilia americana","5","",NA,""
"16490","","Tilia americana","7","",NA,""
"16491","","Tilia americana","upper part of juvenile crown","m",NA,""
"16492","","Tilia americana","juvenile","y",NA,""
"16493","","Tilia americana","5","%",NA,""
"16494","","Tilia americana","<5% of full sunlight","",NA,""
"16495","","Tilia americana","Lusk and Reich (2000)","",NA,""
"16496","Plant nitrogen fixation capacity","Tilia americana","no","",NA,""
"16497","","Tilia americana","Natural Vegetation","",NA,""
"16498","","Tilia americana","ambient (about 360ppm)","",NA,""
"16499","","Tilia americana","intermediate","",NA,""
"16500","","Tilia americana","high","",NA,""
"16501","Species ocurrence range: climate type","Tilia americana","temperate, boreal","",NA,""
"16502","","Pinus flexilis","0","",NA,""
"16503","","Pinus flexilis","15","¡C",NA,""
"16504","","Pinus flexilis","17","¡C",NA,""
"16505","","Pinus flexilis","2","",NA,""
"16506","","Pinus flexilis","1000","micromol m-2 s-1",NA,""
"16507","","Pinus flexilis","350","ppm",NA,""
"16508","","Pinus flexilis","21","%",NA,""
"16509","","Pinus flexilis","10","",NA,""
"16510","Leaf nitrogen (N) content per leaf dry mass","Pinus flexilis","11.2","mg g-1",11.2,"mg/g"
"16511","Leaf area per leaf dry mass (specific leaf area, SLA)","Pinus flexilis","2.73","m2 kg-1",2.73,"mm2 mg-1"
"16512","Leaf photosynthesis rate per leaf area","Pinus flexilis","9.49","micromol m-2 s-1",9.49,"micro mol m-2 s-1"
"16513","","Pinus flexilis","40.05","",40.05,""
"16514","","Pinus flexilis","-105.6","",-105.6,""
"16515","","Pinus flexilis","3200","m",3200,"m"
"16516","","Pinus flexilis","1986","",NA,""
"16517","","Pinus flexilis","6","",NA,""
"16518","Leaf lifespan (longevity)","Pinus flexilis","36","month",36,"month"
"16519","","Pinus flexilis","7","m",NA,""
"16520","","Pinus flexilis","7","m",NA,""
"16521","","Pinus flexilis","sun leaves","",NA,""
"16522","","Pinus flexilis","Reich et al. (1999 and 1998)","",NA,""
"16523","Plant nitrogen fixation capacity","Pinus flexilis","no","",NA,""
"16524","","Pinus flexilis","Natural Vegetation","",NA,""
"16525","","Pinus flexilis","ambient (about 360ppm)","",NA,""
"16526","","Pinus flexilis","intermediate","",NA,""
"16527","","Pinus flexilis","high","",NA,""
"16528","Species ocurrence range: climate type","Pinus flexilis","temperate, boreal","",NA,""
"16529","","Pinus flexilis","0","",NA,""
"16530","","Pinus flexilis","15","¡C",NA,""
"16531","","Pinus flexilis","25","¡C",NA,""
"16532","","Pinus flexilis","2","",NA,""
"16533","","Pinus flexilis","1000","micromol m-2 s-1",NA,""
"16534","","Pinus flexilis","350","ppm",NA,""
"16535","","Pinus flexilis","21","%",NA,""
"16536","","Pinus flexilis","10","",NA,""
"16537","Leaf nitrogen (N) content per leaf dry mass","Pinus flexilis","11.2","mg g-1",11.2,"mg/g"
"16538","Leaf area per leaf dry mass (specific leaf area, SLA)","Pinus flexilis","2.73","m2 kg-1",2.73,"mm2 mg-1"
"16539","Leaf respiration rate per leaf dry mass","Pinus flexilis","0.004","micromol g-1 s-1",0.004,"micro mol g-1 s-1"
"16540","","Pinus flexilis","40.05","",40.05,""
"16541","","Pinus flexilis","-105.6","",-105.6,""
"16542","","Pinus flexilis","3200","m",3200,"m"
"16543","","Pinus flexilis","1986","",NA,""
"16544","","Pinus flexilis","6","",NA,""
"16545","Leaf lifespan (longevity)","Pinus flexilis","36","month",36,"month"
"16546","","Pinus flexilis","7","m",NA,""
"16547","","Pinus flexilis","7","m",NA,""
"16548","","Pinus flexilis","sun leaves","",NA,""
"16549","","Pinus flexilis","Reich et al. (1999 and 1998)","",NA,""
"16550","Plant nitrogen fixation capacity","Pinus flexilis","no","",NA,""
"16551","","Pinus flexilis","Natural Vegetation","",NA,""
"16552","","Pinus flexilis","ambient (about 360ppm)","",NA,""
"16553","","Pinus flexilis","intermediate","",NA,""
"16554","","Pinus flexilis","high","",NA,""
"16555","Species ocurrence range: climate type","Pinus flexilis","temperate, boreal","",NA,""
"16556","","Acer negundo","0","",NA,""
"16557","","Acer negundo","25","¡C",NA,""
"16558","","Acer negundo","25","¡C",NA,""
"16559","","Acer negundo","2","",NA,""
"16560","","Acer negundo","1000","micromol m-2 s-1",NA,""
"16561","","Acer negundo","360","ppm",NA,""
"16562","","Acer negundo","21","%",NA,""
"16563","","Acer negundo","10","",NA,""
"16564","Leaf nitrogen (N) content per leaf dry mass","Acer negundo","29.5","mg g-1",29.5,"mg/g"
"16565","Leaf area per leaf dry mass (specific leaf area, SLA)","Acer negundo","14.6","m2 kg-1",14.6,"mm2 mg-1"
"16566","","Acer negundo","Schulze et al. (1994)","",NA,""
"16567","Plant nitrogen fixation capacity","Acer negundo","no","",NA,""
"16568","","Acer negundo","Natural Vegetation","",NA,""
"16569","","Acer negundo","ambient (about 360ppm)","",NA,""
"16570","","Acer negundo","low","",NA,""
"16571","","Acer negundo","high","",NA,""
"16572","Species ocurrence range: climate type","Acer negundo","temperate, boreal","",NA,""
"16573","","Acer negundo","0","",NA,""
"16574","","Acer negundo","25","¡C",NA,""
"16575","","Acer negundo","25","¡C",NA,""
"16576","","Acer negundo","2","",NA,""
"16577","","Acer negundo","1000","micromol m-2 s-1",NA,""
"16578","","Acer negundo","360","ppm",NA,""
"16579","","Acer negundo","21","%",NA,""
"16580","","Acer negundo","10","",NA,""
"16581","Leaf area per leaf dry mass (specific leaf area, SLA)","Acer negundo","20.87","m2 kg-1",20.87,"mm2 mg-1"
"16582","","Acer negundo","White et al (2000)","",NA,""
"16583","Plant nitrogen fixation capacity","Acer negundo","no","",NA,""
"16584","","Acer negundo","Natural Vegetation","",NA,""
"16585","","Acer negundo","ambient (about 360ppm)","",NA,""
"16586","","Acer negundo","intermediate","",NA,""
"16587","","Acer negundo","high","",NA,""
"16588","Species ocurrence range: climate type","Acer negundo","temperate, boreal","",NA,""
"16589","","Cochlospermum vitifolium","0","",NA,""
"16590","","Cochlospermum vitifolium","25","¡C",NA,""
"16591","","Cochlospermum vitifolium","25","¡C",NA,""
"16592","","Cochlospermum vitifolium","2","",NA,""
"16593","","Cochlospermum vitifolium","1000","micromol m-2 s-1",NA,""
"16594","","Cochlospermum vitifolium","360","ppm",NA,""
"16595","","Cochlospermum vitifolium","21","%",NA,""
"16596","","Cochlospermum vitifolium","10","",NA,""
"16597","Leaf area per leaf dry mass (specific leaf area, SLA)","Cochlospermum vitifolium","17.39","m2 kg-1",17.39,"mm2 mg-1"
"16598","","Cochlospermum vitifolium","White et al (2000)","",NA,""
"16599","Plant nitrogen fixation capacity","Cochlospermum vitifolium","no","",NA,""
"16600","","Cochlospermum vitifolium","Natural Vegetation","",NA,""
"16601","","Cochlospermum vitifolium","ambient (about 360ppm)","",NA,""
"16602","","Cochlospermum vitifolium","intermediate","",NA,""
"16603","","Cochlospermum vitifolium","high","",NA,""
"16604","Species ocurrence range: climate type","Cochlospermum vitifolium","temperate, boreal","",NA,""
"16605","","Randia aculeata","0","",NA,""
"16606","","Randia aculeata","25","¡C",NA,""
"16607","","Randia aculeata","25","¡C",NA,""
"16608","","Randia aculeata","2","",NA,""
"16609","","Randia aculeata","1000","micromol m-2 s-1",NA,""
"16610","","Randia aculeata","360","ppm",NA,""
"16611","","Randia aculeata","21","%",NA,""
"16612","","Randia aculeata","10","",NA,""
"16613","Leaf area per leaf dry mass (specific leaf area, SLA)","Randia aculeata","28.48","m2 kg-1",28.48,"mm2 mg-1"
"16614","","Randia aculeata","White et al (2000)","",NA,""
"16615","Plant nitrogen fixation capacity","Randia aculeata","no","",NA,""
"16616","","Randia aculeata","Natural Vegetation","",NA,""
"16617","","Randia aculeata","ambient (about 360ppm)","",NA,""
"16618","","Randia aculeata","intermediate","",NA,""
"16619","","Randia aculeata","high","",NA,""
"16620","Species ocurrence range: climate type","Randia aculeata","temperate, boreal","",NA,""
"16621","","Tilia americana","0","",NA,""
"16622","","Tilia americana","25","¡C",NA,""
"16623","","Tilia americana","25","¡C",NA,""
"16624","","Tilia americana","2","",NA,""
"16625","","Tilia americana","1000","micromol m-2 s-1",NA,""
"16626","","Tilia americana","360","ppm",NA,""
"16627","","Tilia americana","21","%",NA,""
"16628","","Tilia americana","10","",NA,""
"16629","Leaf area per leaf dry mass (specific leaf area, SLA)","Tilia americana","31.35","m2 kg-1",31.35,"mm2 mg-1"
"16630","","Tilia americana","White et al (2000)","",NA,""
"16631","Plant nitrogen fixation capacity","Tilia americana","no","",NA,""
"16632","","Tilia americana","Natural Vegetation","",NA,""
"16633","","Tilia americana","ambient (about 360ppm)","",NA,""
"16634","","Tilia americana","intermediate","",NA,""
"16635","","Tilia americana","high","",NA,""
"16636","Species ocurrence range: climate type","Tilia americana","temperate, boreal","",NA,""
"16637","","Ficus obtusifolia","0","",NA,""
"16638","","Ficus obtusifolia","25","¡C",NA,""
"16639","","Ficus obtusifolia","31","¡C",NA,""
"16640","","Ficus obtusifolia","2","",NA,""
"16641","","Ficus obtusifolia","900","micromol m-2 s-1",NA,""
"16642","","Ficus obtusifolia","360","ppm",NA,""
"16643","","Ficus obtusifolia","21","%",NA,""
"16644","","Ficus obtusifolia","10","",NA,""
"16645","","Ficus obtusifolia","Wullschleger (1993)","",NA,""
"16646","Plant nitrogen fixation capacity","Ficus obtusifolia","no","",NA,""
"16647","","Ficus obtusifolia","Natural Vegetation","",NA,""
"16648","","Ficus obtusifolia","ambient (about 360ppm)","",NA,""
"16649","","Ficus obtusifolia","intermediate","",NA,""
"16650","","Ficus obtusifolia","high","",NA,""
"16651","Species ocurrence range: climate type","Ficus obtusifolia","tropical","",NA,""
"16652","","Chimarrhis turbinata","0","",NA,""
"16653","","Chimarrhis turbinata","25","¡C",NA,""
"16654","","Chimarrhis turbinata","30","¡C",NA,""
"16655","","Chimarrhis turbinata","1","",NA,""
"16656","","Chimarrhis turbinata","1800","micromol m-2 s-1",NA,""
"16657","","Chimarrhis turbinata","370","ppm",NA,""
"16658","","Chimarrhis turbinata","21","%",NA,""
"16659","","Chimarrhis turbinata","2","",NA,""
"16660","Leaf area per leaf dry mass (specific leaf area, SLA)","Chimarrhis turbinata","12.19512195","m2 kg-1",12.19512195,"mm2 mg-1"
"16661","","Chimarrhis turbinata","Domingues et al.  (2007)","",NA,""
"16662","Plant nitrogen fixation capacity","Chimarrhis turbinata","no","",NA,""
"16663","","Chimarrhis turbinata","Oxisols / weathered Ultisols","",NA,""
"16664","","Chimarrhis turbinata","Natural Vegetation","",NA,""
"16665","","Chimarrhis turbinata","actual","",NA,""
"16666","","Chimarrhis turbinata","unknown","",NA,""
"16667","Species ocurrence range: climate type","Chimarrhis turbinata","tropical","",NA,""
"16668","","Tilia americana","0","",NA,""
"16669","","Tilia americana","0","¡C",NA,""
"16670","","Tilia americana","15","¡C",NA,""
"16671","","Tilia americana","0","",NA,""
"16672","","Tilia americana","0","micromol m-2 s-1",NA,""
"16673","","Tilia americana","360","ppm",NA,""
"16674","","Tilia americana","21","%",NA,""
"16675","","Tilia americana","5","",NA,""
"16676","","Tilia americana","Tjoelker et al (2001)","",NA,""
"16677","Plant nitrogen fixation capacity","Tilia americana","no","",NA,""
"16678","","Tilia americana","unknown","",NA,""
"16679","Species ocurrence range: climate type","Tilia americana","temperate, boreal","",NA,""
"16680","","Tilia americana","0","",NA,""
"16681","","Tilia americana","0","¡C",NA,""
"16682","","Tilia americana","20","¡C",NA,""
"16683","","Tilia americana","0","",NA,""
"16684","","Tilia americana","0","micromol m-2 s-1",NA,""
"16685","","Tilia americana","360","ppm",NA,""
"16686","","Tilia americana","21","%",NA,""
"16687","","Tilia americana","5","",NA,""
"16688","","Tilia americana","Tjoelker et al (2001)","",NA,""
"16689","Plant nitrogen fixation capacity","Tilia americana","no","",NA,""
"16690","","Tilia americana","unknown","",NA,""
"16691","Species ocurrence range: climate type","Tilia americana","temperate, boreal","",NA,""
"16692","","Tilia americana","0","",NA,""
"16693","","Tilia americana","0","¡C",NA,""
"16694","","Tilia americana","25","¡C",NA,""
"16695","","Tilia americana","0","",NA,""
"16696","","Tilia americana","0","micromol m-2 s-1",NA,""
"16697","","Tilia americana","360","ppm",NA,""
"16698","","Tilia americana","21","%",NA,""
"16699","","Tilia americana","5","",NA,""
"16700","","Tilia americana","Tjoelker et al (2001)","",NA,""
"16701","Plant nitrogen fixation capacity","Tilia americana","no","",NA,""
"16702","","Tilia americana","unknown","",NA,""
"16703","Species ocurrence range: climate type","Tilia americana","temperate, boreal","",NA,""
"16704","","Pinus flexilis","1760","",NA,""
"16705","","Pinus flexilis","Reichetal","",NA,""
"16706","","Pinus flexilis","mature","",NA,""
"16707","","Pinus flexilis","field","",NA,""
"16708","","Pinus flexilis","CO2","",NA,""
"16709","Plant woodiness","Pinus flexilis","W","",NA,""
"16710","","Pinus flexilis","gymno","",NA,""
"16711","","Pinus flexilis","Colorado","",NA,""
"16712","Species ocurrence range: climate type","Pinus flexilis","TMP","",NA,""
"16713","","Pinus flexilis","25","C",NA,""
"16714","","Pinus flexilis","7.8","C",NA,""
"16715","Leaf nitrogen (N) content per leaf dry mass","Pinus flexilis","11.2","mg/g",11.2,"mg/g"
"16716","Leaf respiration rate per leaf dry mass","Pinus flexilis","4","nano mol g-1 s-1",0.004,"micro mol g-1 s-1"
"16717","Leaf respiration rate per leaf dry mass","Pinus flexilis","4","nano mol g-1 s-1",0.004,"micro mol g-1 s-1"
"16718","Leaf respiration rate per leaf dry mass","Pinus flexilis","2.751432515","nano mol g-1 s-1",0.00275,"micro mol g-1 s-1"
"16719","Leaf respiration rate per leaf dry mass","Pinus flexilis","0.90136403","nano mol g-1 s-1",0.000901,"micro mol g-1 s-1"
"16720","","Pinus flexilis","3360","m",3360,"m"
"16721","","Pinus flexilis","-40.05","",40.05,""
"16722","","Pinus flexilis","-105.6","",-105.6,""
"16723","","Pinus flexilis","Pinus_flexilis","",NA,""
"16724","Plant nitrogen fixation capacity","Pinus flexilis","N","",NA,""
"16725","Leaf area per leaf dry mass (specific leaf area, SLA)","Pinus flexilis","27.3","cm2/g",2.73,"mm2 mg-1"
"16726","Leaf photosynthesis rate per leaf area","Pinus flexilis","9.74","micromol/m2/s",9.74,"micro mol m-2 s-1"
"16727","","Pinus flexilis","-1.5","C",NA,""
"16728","","Pinus flexilis","7.8","C",NA,""
"16729","","Pinus flexilis","959","mm",NA,""
"16730","","Pinus flexilis","0.38","kPa",NA,""
"16731","","Pinus flexilis","0.61","kPa",NA,""
"16732","","Pinus flexilis","142","W/m2",NA,""
"16733","","Pinus flexilis","197","W/m2",NA,""
"16734","","Pinus flexilis","506","",NA,""
"16735","","Pinus flexilis","313","",NA,""
"16736","","Tilia americana","2767","",NA,""
"16737","","Tilia americana","MitchellNC","",NA,""
"16738","","Tilia americana","mature","",NA,""
"16739","","Tilia americana","field","",NA,""
"16740","","Tilia americana","CO2","",NA,""
"16741","Plant woodiness","Tilia americana","W","",NA,""
"16742","","Tilia americana","angio","",NA,""
"16743","","Tilia americana","Coweeta2","",NA,""
"16744","Species ocurrence range: climate type","Tilia americana","TMP","",NA,""
"16745","","Tilia americana","25","C",NA,""
"16746","","Tilia americana","14.7","C",NA,""
"16747","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","28.8","mg/g",28.8,"mg/g"
"16748","Leaf respiration rate per leaf dry mass","Tilia americana","10.48","nano mol g-1 s-1",0.01048,"micro mol g-1 s-1"
"16749","Leaf respiration rate per leaf dry mass","Tilia americana","10.48","nano mol g-1 s-1",0.01048,"micro mol g-1 s-1"
"16750","Leaf respiration rate per leaf dry mass","Tilia americana","7.208753189","nano mol g-1 s-1",0.00721,"micro mol g-1 s-1"
"16751","Leaf respiration rate per leaf dry mass","Tilia americana","4.590989059","nano mol g-1 s-1",0.00459,"micro mol g-1 s-1"
"16752","","Tilia americana","850","m",850,"m"
"16753","","Tilia americana","-35.05","",35.05,""
"16754","","Tilia americana","-83.42","",-83.42,""
"16755","","Tilia americana","Malvaceae","",NA,""
"16756","","Tilia americana","Tilia_americana","",NA,""
"16757","Plant nitrogen fixation capacity","Tilia americana","N","",NA,""
"16758","Leaf area per leaf dry mass (specific leaf area, SLA)","Tilia americana","150","cm2/g",15,"mm2 mg-1"
"16759","","Tilia americana","11.6","C",NA,""
"16760","","Tilia americana","14.7","C",NA,""
"16761","","Tilia americana","1740","mm",NA,""
"16762","","Tilia americana","0.31","kPa",NA,""
"16763","","Tilia americana","0.35","kPa",NA,""
"16764","","Tilia americana","146","W/m2",NA,""
"16765","","Tilia americana","165","W/m2",NA,""
"16766","","Tilia americana","1035","",NA,""
"16767","","Tilia americana","962","",NA,""
"16768","","Tilia americana","LuskReichOecol2000","",NA,""
"16769","","Tilia americana","mature","",NA,""
"16770","","Tilia americana","field","",NA,""
"16771","","Tilia americana","CO2","",NA,""
"16772","Plant woodiness","Tilia americana","W","",NA,""
"16773","","Tilia americana","angio","",NA,""
"16774","","Tilia americana","carlton","",NA,""
"16775","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16776","","Tilia americana","20","C",NA,""
"16777","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","29.7","mg/g",29.7,"mg/g"
"16778","Leaf respiration rate per leaf dry mass","Tilia americana","8.34","nano mol g-1 s-1",0.00834,"micro mol g-1 s-1"
"16779","Leaf respiration rate per leaf dry mass","Tilia americana","12.12459321","nano mol g-1 s-1",0.0121,"micro mol g-1 s-1"
"16780","Leaf respiration rate per leaf dry mass","Tilia americana","8.34","nano mol g-1 s-1",0.00834,"micro mol g-1 s-1"
"16781","","Tilia americana","LuskReichOecol2000","",NA,""
"16782","","Tilia americana","mature","",NA,""
"16783","","Tilia americana","field","",NA,""
"16784","","Tilia americana","CO2","",NA,""
"16785","Plant woodiness","Tilia americana","W","",NA,""
"16786","","Tilia americana","angio","",NA,""
"16787","","Tilia americana","carlton","",NA,""
"16788","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16789","","Tilia americana","20","C",NA,""
"16790","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","28","mg/g",28,"mg/g"
"16791","Leaf respiration rate per leaf dry mass","Tilia americana","6.43","nano mol g-1 s-1",0.00643,"micro mol g-1 s-1"
"16792","Leaf respiration rate per leaf dry mass","Tilia americana","9.347857837","nano mol g-1 s-1",0.00935,"micro mol g-1 s-1"
"16793","Leaf respiration rate per leaf dry mass","Tilia americana","6.43","nano mol g-1 s-1",0.00643,"micro mol g-1 s-1"
"16794","","Tilia americana","LuskReichOecol2000","",NA,""
"16795","","Tilia americana","mature","",NA,""
"16796","","Tilia americana","field","",NA,""
"16797","","Tilia americana","CO2","",NA,""
"16798","Plant woodiness","Tilia americana","W","",NA,""
"16799","","Tilia americana","angio","",NA,""
"16800","","Tilia americana","carlton","",NA,""
"16801","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16802","","Tilia americana","20","C",NA,""
"16803","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","27.4","mg/g",27.4,"mg/g"
"16804","Leaf respiration rate per leaf dry mass","Tilia americana","8.73","nano mol g-1 s-1",0.00873,"micro mol g-1 s-1"
"16805","Leaf respiration rate per leaf dry mass","Tilia americana","12.69157059","nano mol g-1 s-1",0.012691571,"micro mol g-1 s-1"
"16806","Leaf respiration rate per leaf dry mass","Tilia americana","8.73","nano mol g-1 s-1",0.00873,"micro mol g-1 s-1"
"16807","","Tilia americana","LuskReichOecol2000","",NA,""
"16808","","Tilia americana","mature","",NA,""
"16809","","Tilia americana","field","",NA,""
"16810","","Tilia americana","CO2","",NA,""
"16811","Plant woodiness","Tilia americana","W","",NA,""
"16812","","Tilia americana","angio","",NA,""
"16813","","Tilia americana","carlton","",NA,""
"16814","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16815","","Tilia americana","20","C",NA,""
"16816","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","25.4","mg/g",25.4,"mg/g"
"16817","Leaf respiration rate per leaf dry mass","Tilia americana","6.83","nano mol g-1 s-1",0.00683,"micro mol g-1 s-1"
"16818","Leaf respiration rate per leaf dry mass","Tilia americana","9.9293731","nano mol g-1 s-1",0.00993,"micro mol g-1 s-1"
"16819","Leaf respiration rate per leaf dry mass","Tilia americana","6.83","nano mol g-1 s-1",0.00683,"micro mol g-1 s-1"
"16820","","Tilia americana","LuskReichOecol2000","",NA,""
"16821","","Tilia americana","mature","",NA,""
"16822","","Tilia americana","field","",NA,""
"16823","","Tilia americana","CO2","",NA,""
"16824","Plant woodiness","Tilia americana","W","",NA,""
"16825","","Tilia americana","angio","",NA,""
"16826","","Tilia americana","carlton","",NA,""
"16827","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16828","","Tilia americana","20","C",NA,""
"16829","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","26.2","mg/g",26.2,"mg/g"
"16830","Leaf respiration rate per leaf dry mass","Tilia americana","9.005","nano mol g-1 s-1",0.009005,"micro mol g-1 s-1"
"16831","Leaf respiration rate per leaf dry mass","Tilia americana","13.09136234","nano mol g-1 s-1",0.0131,"micro mol g-1 s-1"
"16832","Leaf respiration rate per leaf dry mass","Tilia americana","9.005","nano mol g-1 s-1",0.009005,"micro mol g-1 s-1"
"16833","","Tilia americana","LuskReichOecol2000","",NA,""
"16834","","Tilia americana","mature","",NA,""
"16835","","Tilia americana","field","",NA,""
"16836","","Tilia americana","CO2","",NA,""
"16837","Plant woodiness","Tilia americana","W","",NA,""
"16838","","Tilia americana","angio","",NA,""
"16839","","Tilia americana","carlton","",NA,""
"16840","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16841","","Tilia americana","20","C",NA,""
"16842","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","26.5","mg/g",26.5,"mg/g"
"16843","Leaf respiration rate per leaf dry mass","Tilia americana","5.85","nano mol g-1 s-1",0.00585,"micro mol g-1 s-1"
"16844","Leaf respiration rate per leaf dry mass","Tilia americana","8.504660708","nano mol g-1 s-1",0.0085,"micro mol g-1 s-1"
"16845","Leaf respiration rate per leaf dry mass","Tilia americana","5.85","nano mol g-1 s-1",0.00585,"micro mol g-1 s-1"
"16846","","Tilia americana","LuskReichOecol2000","",NA,""
"16847","","Tilia americana","mature","",NA,""
"16848","","Tilia americana","field","",NA,""
"16849","","Tilia americana","CO2","",NA,""
"16850","Plant woodiness","Tilia americana","W","",NA,""
"16851","","Tilia americana","angio","",NA,""
"16852","","Tilia americana","carlton","",NA,""
"16853","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16854","","Tilia americana","20","C",NA,""
"16855","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","22.9","mg/g",22.9,"mg/g"
"16856","Leaf respiration rate per leaf dry mass","Tilia americana","10.51","nano mol g-1 s-1",0.01051,"micro mol g-1 s-1"
"16857","Leaf respiration rate per leaf dry mass","Tilia americana","15.27931351","nano mol g-1 s-1",0.0153,"micro mol g-1 s-1"
"16858","Leaf respiration rate per leaf dry mass","Tilia americana","10.51","nano mol g-1 s-1",0.01051,"micro mol g-1 s-1"
"16859","","Tilia americana","LuskReichOecol2000","",NA,""
"16860","","Tilia americana","mature","",NA,""
"16861","","Tilia americana","field","",NA,""
"16862","","Tilia americana","CO2","",NA,""
"16863","Plant woodiness","Tilia americana","W","",NA,""
"16864","","Tilia americana","angio","",NA,""
"16865","","Tilia americana","carlton","",NA,""
"16866","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16867","","Tilia americana","20","C",NA,""
"16868","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","23.7","mg/g",23.7,"mg/g"
"16869","Leaf respiration rate per leaf dry mass","Tilia americana","9.675","nano mol g-1 s-1",0.009675,"micro mol g-1 s-1"
"16870","Leaf respiration rate per leaf dry mass","Tilia americana","14.0654004","nano mol g-1 s-1",0.0141,"micro mol g-1 s-1"
"16871","Leaf respiration rate per leaf dry mass","Tilia americana","9.675","nano mol g-1 s-1",0.009675,"micro mol g-1 s-1"
"16872","","Tilia americana","LuskReichOecol2000","",NA,""
"16873","","Tilia americana","mature","",NA,""
"16874","","Tilia americana","field","",NA,""
"16875","","Tilia americana","CO2","",NA,""
"16876","Plant woodiness","Tilia americana","W","",NA,""
"16877","","Tilia americana","angio","",NA,""
"16878","","Tilia americana","carlton","",NA,""
"16879","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16880","","Tilia americana","20","C",NA,""
"16881","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","30.7","mg/g",30.7,"mg/g"
"16882","Leaf respiration rate per leaf dry mass","Tilia americana","11.025","nano mol g-1 s-1",0.011025,"micro mol g-1 s-1"
"16883","Leaf respiration rate per leaf dry mass","Tilia americana","16.02801441","nano mol g-1 s-1",0.016,"micro mol g-1 s-1"
"16884","Leaf respiration rate per leaf dry mass","Tilia americana","11.025","nano mol g-1 s-1",0.011025,"micro mol g-1 s-1"
"16885","","Tilia americana","LuskReichOecol2000","",NA,""
"16886","","Tilia americana","mature","",NA,""
"16887","","Tilia americana","field","",NA,""
"16888","","Tilia americana","CO2","",NA,""
"16889","Plant woodiness","Tilia americana","W","",NA,""
"16890","","Tilia americana","angio","",NA,""
"16891","","Tilia americana","carlton","",NA,""
"16892","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16893","","Tilia americana","20","C",NA,""
"16894","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","29.8","mg/g",29.8,"mg/g"
"16895","Leaf respiration rate per leaf dry mass","Tilia americana","13.01","nano mol g-1 s-1",0.01301,"micro mol g-1 s-1"
"16896","Leaf respiration rate per leaf dry mass","Tilia americana","18.9137839","nano mol g-1 s-1",0.0189,"micro mol g-1 s-1"
"16897","Leaf respiration rate per leaf dry mass","Tilia americana","13.01","nano mol g-1 s-1",0.01301,"micro mol g-1 s-1"
"16898","","Tilia americana","LuskReichOecol2000","",NA,""
"16899","","Tilia americana","mature","",NA,""
"16900","","Tilia americana","field","",NA,""
"16901","","Tilia americana","CO2","",NA,""
"16902","Plant woodiness","Tilia americana","W","",NA,""
"16903","","Tilia americana","angio","",NA,""
"16904","","Tilia americana","carlton","",NA,""
"16905","Species ocurrence range: climate type","Tilia americana","boreal","",NA,""
"16906","","Tilia americana","20","C",NA,""
"16907","Leaf nitrogen (N) content per leaf dry mass","Tilia americana","25","mg/g",25,"mg/g"
"16908","Leaf respiration rate per leaf dry mass","Tilia americana","10.028","nano mol g-1 s-1",0.010028,"micro mol g-1 s-1"
"16909","Leaf respiration rate per leaf dry mass","Tilia americana","14.57858762","nano mol g-1 s-1",0.0146,"micro mol g-1 s-1"
"16910","Leaf respiration rate per leaf dry mass","Tilia americana","10.028","nano mol g-1 s-1",0.010028,"micro mol g-1 s-1"
